group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPS4Y1,8.5386715,,1.3577355146120995e-17,1.165389650042052e-15
0,SOD1,8.449505,,2.9253991488029235e-17,2.4765707862468583e-15
0,RPL27,8.432877,,3.372698648721664e-17,2.8358200883129093e-15
0,LEF1,8.425708,,3.5857665425235976e-17,2.994599626053491e-15
0,TCF7,8.375772,,5.4862858920245935e-17,4.551039840632481e-15
0,TMEM123,8.350382,,6.804277464132808e-17,5.606724630445434e-15
0,FYB,8.21576,,2.1082358422837725e-16,1.725681788783273e-14
0,GIMAP5,8.198385,,2.43637190589657e-16,1.9428101133472006e-14
0,MAL,8.083529,,6.291876128578973e-16,4.953349614601026e-14
0,EVL,8.075962,,6.69467373203737e-16,5.237099197973537e-14
0,RGS10,7.9316826,,2.161964339000327e-15,1.6806213352228956e-13
0,HNRNPA1,7.8521247,,4.0904714348057305e-15,3.159889183387427e-13
0,PRDX2,7.775554,,7.511783033779971e-15,5.731212240587681e-13
0,TOMM7,7.688578,,1.4877897872724114e-14,1.1281645258090187e-12
0,PABPC1,7.6391907,,2.1859131695345503e-14,1.6474321204540878e-12
0,RPS7,7.601005,,2.938398258744288e-14,2.201127422913903e-12
0,RPL34,7.5954785,,3.066565789559579e-14,2.2832983830696623e-12
0,FOS,7.5700383,,3.731145812392118e-14,2.7614947449800344e-12
0,PRKCQ-AS1,7.4837594,,7.222619162478014e-14,5.282341588652559e-12
0,CD7,7.4818177,,7.330161451503446e-14,5.329458561210741e-12
0,DNAJB1,7.345504,,2.0498522398497142e-13,1.4477813534024268e-11
0,JUN,7.2621126,,3.810905078585878e-13,2.6462239759169352e-11
0,PEBP1,7.252504,,4.0913611509681614e-13,2.825096303126619e-11
0,NDFIP1,7.2151647,,5.386876626699735e-13,3.6989886170004846e-11
0,RPL29,7.2042613,,5.835926210177646e-13,3.9851960197677184e-11
0,RPL8,7.122065,,1.0632182400396044e-12,7.142052960266039e-11
0,LEPROTL1,7.110316,,1.1577787588810887e-12,7.735213762037977e-11
0,TRAT1,7.1040926,,1.211158138676569e-12,8.048341179592685e-11
0,TRAF3IP3,7.0503235,,1.7850207907605618e-12,1.1673469298307165e-10
0,RPL15,6.967032,,3.236971885401667e-12,2.0517421796699797e-10
0,C12orf57,6.862681,,6.758012067224752e-12,4.240052241162331e-10
0,BTG2,6.811501,,9.658566040532698e-12,5.998988756833374e-10
0,FLT3LG,6.806572,,9.99516147131505e-12,6.177009789272702e-10
0,CD3G,6.71173,,1.9233019668186378e-11,1.1768322925682358e-09
0,FXYD5,6.605686,,3.9568011835440316e-11,2.3626117211886103e-09
0,LDLRAP1,6.4370117,,1.2184848058564486e-10,7.103996320936653e-09
0,NACA,6.428349,,1.289972693952069e-10,7.485475350820456e-09
0,GIMAP4,6.3580513,,2.0432907818054673e-10,1.1746546075867709e-08
0,VIM,6.0989656,,1.067568696923847e-09,5.97065569863292e-08
0,COX7C,5.9867983,,2.1401186265209827e-09,1.1704365585751922e-07
0,GNB2L1,5.930192,,3.0258098801075465e-09,1.6403074613214595e-07
0,GSTK1,5.9195876,,3.2275022143534156e-09,1.7344316247568789e-07
0,RHOH,5.843664,,5.106497278601678e-09,2.720530446703308e-07
0,LAT,5.8351507,,5.374199327504246e-09,2.838679644784294e-07
0,IFITM1,5.822505,,5.79720562711566e-09,3.049083470261684e-07
0,ITM2B,5.7558417,,8.621110925464911e-09,4.4771819764179116e-07
0,GYPC,5.733737,,9.824171328437645e-09,5.080617473618799e-07
0,PPA1,5.7138724,,1.1043388400015119e-08,5.663746083991157e-07
0,EIF4A2,5.634364,,1.757052541073574e-08,8.903050643845087e-07
0,ACAP1,5.6343145,,1.7575601594645643e-08,8.903050643845087e-07
0,CD40LG,5.526578,,3.2653725352346215e-08,1.588976556515745e-06
0,RPL26,5.481671,,4.213269923500212e-08,2.034219384939946e-06
0,SNRPD2,5.450605,,5.019883311700123e-08,2.4048743307214547e-06
0,SLC2A3,5.3353505,,9.536018388671794e-08,4.481566056425223e-06
0,CCDC109B,5.175289,,2.2755851031622178e-07,1.0417122916698152e-05
0,TRABD2A,5.143874,,2.6912993878308706e-07,1.2274708647081018e-05
0,SPOCK2,5.1271462,,2.941673181294129e-07,1.3360656436406437e-05
0,SUSD3,5.107033,,3.272573675860508e-07,1.4762412640013093e-05
0,OCIAD2,5.0870686,,3.636406379948395e-07,1.6284776397160205e-05
0,ST13,5.055703,,4.288074355792044e-07,1.899663047942282e-05
0,RPL36AL,4.993322,,5.934958245543653e-07,2.5829607012295615e-05
0,DDX5,4.9094324,,9.134032131841798e-07,3.906458032856907e-05
0,ITM2A,4.905599,,9.314263948274635e-07,3.969803531057741e-05
0,RPS9,4.9047027,,9.356887182050754e-07,3.974265483510217e-05
0,CYTIP,4.867015,,1.1329644544731624e-06,4.7630750534994176e-05
0,COMMD6,4.849988,,1.2346880856494167e-06,5.1731338097039965e-05
0,SOCS3,4.8299246,,1.365848168913371e-06,5.703338975597725e-05
0,SRSF5,4.788403,,1.6811368726263853e-06,6.949448744368602e-05
0,ARHGAP15,4.6525373,,3.2787503442014856e-06,0.00013243579821676588
0,FHIT,4.5877166,,4.481209177600975e-06,0.0001780956444860066
0,MZT2B,4.549431,,5.379115880045114e-06,0.00020841966231146587
0,MYL12A,4.541266,,5.591738498777132e-06,0.00021598089951526672
0,AAK1,4.51239,,6.41010712668349e-06,0.00024605255927269545
0,NGFRAP1,4.459717,,8.206796985812944e-06,0.00031307410723656787
0,OXNAD1,4.446225,,8.739242850658368e-06,0.000331340618509624
0,SELL,4.434575,,9.225406609885372e-06,0.0003476403222505585
0,CD69,4.4288,,9.47588779142643e-06,0.00035491507000615357
0,CD44,4.4076905,,1.0447859003598311e-05,0.0003889624617002263
0,MZT2A,4.301298,,1.6980024909823837e-05,0.0006246223448970912
0,RCAN3,4.2714267,,1.9422624186840003e-05,0.000708152315484786
0,TTC39C,4.2587314,,2.0559027602356907e-05,0.0007473811210739158
0,PSIP1,4.226072,,2.378059972952429e-05,0.0008594392182950884
